0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0,0,1
2,0,0,0,2,0,0,2,0,0,2
3,0,0,0,3,0,0,3,0,0,3
4,0,0,0,4,0,0,4,0,0,4
5,0,0,0,5,0,0,5,0,0,5
6,0,0,0,6,0,0,6,0,0,6
7,0,0,0,7,0,0,7,0,0,7
8,0,0,0,8,0,0,8,0,0,8
9,0,0,0,9,0,0,9,0,0,9
10,0,0,0,0,1,0,0,1,0,10
11,0,0,0,1,1,0,1,1,0,11
12,0,0,0,2,1,0,2,1,0,12
13,0,0,0,3,1,0,3,1,0,13
14,0,0,0,4,1,0,4,1,0,14
15,0,0,0,5,1,0,5,1,0,15
16,0,0,0,6,1,0,6,1,0,16
17,0,0,0,7,1,0,7,1,0,17
18,0,0,0,8,1,0,8,1,0,18
19,0,0,0,9,1,0,9,1,0,19
20,0,0,0,0,2,0,0,2,0,20
21,0,0,0,1,2,0,1,2,0,21
22,0,0,0,2,2,0,2,2,0,22
23,0,0,0,3,2,0,3,2,0,23
24,0,0,0,4,2,0,4,2,0,24
25,0,0,0,5,2,0,5,2,0,25
26,0,0,0,6,2,0,6,2,0,26
27,0,0,0,7,2,0,7,2,0,27
28,0,0,0,8,2,0,8,2,0,28
29,0,0,0,9,2,0,9,2,0,29
30,0,0,0,0,3,0,0,3,0,30
31,0,0,0,1,3,0,1,3,0,31
32,0,0,0,2,3,0,2,3,0,32
33,0,0,0,3,3,0,3,3,0,33
34,0,0,0,4,3,0,4,3,0,34
35,0,0,0,5,3,0,5,3,0,35
36,0,0,0,6,3,0,6,3,0,36
37,0,0,0,7,3,0,7,3,0,37
38,0,0,0,8,3,0,8,3,0,38
39,0,0,0,9,3,0,9,3,0,39
40,0,0,0,0,4,0,0,4,0,40
41,0,0,0,1,4,0,1,4,0,41
42,0,0,0,2,4,0,2,4,0,42
43,0,0,0,3,4,0,3,4,0,43
44,0,0,0,4,4,0,4,4,0,44
45,0,0,0,5,4,0,5,4,0,45
46,0,0,0,6,4,0,6,4,0,46
47,0,0,0,7,4,0,7,4,0,47
48,0,0,0,8,4,0,8,4,0,48
49,0,0,0,9,4,0,9,4,0,49
50,0,0,0,0,5,0,0,5,0,50
51,0,0,0,1,5,0,1,5,0,51
